,id_,x,y,label,timestamp
0,10.0,4.408908186896834,-9.346885356221287,sitting interactive,2022-08-24 14:00:00
1,12.0,2.66494005963542,-8.24955709637141,sitting individual,2022-08-24 14:00:00
2,13.0,6.348827789131441,-2.2142516671970767,sitting remote,2022-08-24 14:00:00
3,25.0,15.519356817876856,-5.094738349303008,standing interactive,2022-08-24 14:00:00
4,29.0,20.045835889757605,-8.308342538863368,sitting individual,2022-08-24 14:00:00
5,30.0,19.14445910488092,-5.2710946767788815,sitting individual,2022-08-24 14:00:00
6,31.0,16.381543307758903,-7.838058998927705,sitting individual,2022-08-24 14:00:00
7,32.0,15.9700452103152,-5.114333496800327,standing interactive,2022-08-24 14:00:00
8,33.0,20.829641789650378,-5.2514995292815625,standing interactive,2022-08-24 14:00:00
9,35.0,12.893607053236074,-0.3331175074544275,standing interactive,2022-08-24 14:00:00
10,36.0,12.854416758241436,-1.5480166522882215,standing interactive,2022-08-24 14:00:00
11,37.0,13.383485740669055,-1.038542817357921,standing interactive,2022-08-24 14:00:00
12,38.0,12.22737203832722,-0.7838058998927705,standing interactive,2022-08-24 14:00:00
13,12.0,2.66494005963542,-8.24955709637141,sitting individual,2022-08-24 14:35:00
14,13.0,6.348827789131441,-2.2142516671970767,sitting remote,2022-08-24 14:35:00
15,25.0,15.519356817876856,-5.094738349303008,standing interactive,2022-08-24 14:35:00
16,29.0,20.045835889757605,-8.308342538863368,sitting individual,2022-08-24 14:35:00
17,30.0,19.14445910488092,-5.2710946767788815,sitting individual,2022-08-24 14:35:00
18,32.0,15.9700452103152,-5.114333496800327,standing interactive,2022-08-24 14:35:00
19,33.0,20.829641789650378,-5.2514995292815625,standing interactive,2022-08-24 14:35:00
20,39.0,2.625749764640781,-9.30769506122665,sitting individual,2022-08-24 14:35:00
21,40.0,15.480166522882218,-2.939272124597889,sitting interactive,2022-08-24 14:35:00
22,41.0,15.480166522882218,-1.567611799785541,sitting interactive,2022-08-24 14:35:00
23,42.0,15.362595637898302,-2.2730371096890343,sitting interactive,2022-08-24 14:35:00
24,43.0,18.987697924902367,-1.0189476698606017,sitting individual,2022-08-24 14:35:00
25,44.0,4.408908186896834,-8.22996194887409,sitting individual,2022-08-24 14:35:00
26,45.0,10.0719058136221,-2.2142516671970767,sitting individual,2022-08-24 14:35:00
27,12.0,2.66494005963542,-8.24955709637141,sitting individual,2022-08-24 15:40:00
28,13.0,6.348827789131441,-2.2142516671970767,sitting remote,2022-08-24 15:40:00
29,25.0,15.519356817876856,-5.094738349303008,standing interactive,2022-08-24 15:40:00
30,29.0,20.045835889757605,-8.308342538863368,sitting individual,2022-08-24 15:40:00
31,32.0,15.9700452103152,-5.114333496800327,standing interactive,2022-08-24 15:40:00
32,33.0,20.829641789650378,-5.2514995292815625,standing interactive,2022-08-24 15:40:00
33,39.0,2.625749764640781,-9.30769506122665,sitting individual,2022-08-24 15:40:00
34,44.0,4.408908186896834,-8.22996194887409,sitting individual,2022-08-24 15:40:00
35,45.0,10.0719058136221,-2.2142516671970767,sitting individual,2022-08-24 15:40:00
36,46.0,16.401138455256223,-7.740083261441109,sitting individual,2022-08-24 15:40:00
37,47.0,8.171176506382132,-9.30769506122665,sitting individual,2022-08-24 15:40:00
38,48.0,4.408908186896834,-9.288099913729331,sitting individual,2022-08-24 15:40:00
39,49.0,18.73296100743721,-9.01376784876686,sitting interactive,2022-08-24 15:40:00
40,50.0,10.0719058136221,-1.1757088498391557,sitting individual,2022-08-25 10:05:00
41,51.0,18.968102777405047,-1.0189476698606017,sitting remote,2022-08-25 10:05:00
42,52.0,17.30251524013291,-5.055548054308369,sitting individual,2022-08-25 10:05:00
43,53.0,15.538951965374174,-3.0176527145871663,sitting remote,2022-08-25 10:05:00
44,54.0,19.2228396948702,-5.231904381784243,sitting remote,2022-08-25 10:05:00
45,55.0,20.71207090466646,-5.9177345441904174,sitting remote,2022-08-25 10:05:00
46,56.0,13.990935313085954,-5.858949101698459,standing individual,2022-08-25 10:05:00
47,58.0,19.92826500477369,-8.915792111280265,sitting interactive,2022-08-25 10:05:00
48,60.0,18.81134159742649,-9.0529581437615,sitting interactive,2022-08-25 10:05:00
49,61.0,16.773446257705288,-9.405670798713246,sitting individual,2022-08-25 10:05:00
50,50.0,10.0719058136221,-1.1757088498391557,sitting individual,2022-08-25 10:30:00
51,52.0,17.30251524013291,-5.055548054308369,sitting individual,2022-08-25 10:30:00
52,53.0,15.538951965374174,-3.0176527145871663,sitting remote,2022-08-25 10:30:00
53,58.0,19.92826500477369,-8.915792111280265,sitting interactive,2022-08-25 10:30:00
54,60.0,18.81134159742649,-9.0529581437615,sitting interactive,2022-08-25 10:30:00
55,62.0,17.53765701010074,-6.564374411601953,standing interactive,2022-08-25 10:30:00
56,63.0,24.376363486665163,-2.6453449121381003,sitting individual,2022-08-25 10:30:00
57,64.0,19.34041057985411,-5.231904381784243,sitting remote,2022-08-25 10:30:00
58,65.0,20.810046642153058,-5.9177345441904174,sitting remote,2022-08-25 10:30:00
59,50.0,10.0719058136221,-1.1757088498391557,sitting individual,2022-08-25 10:55:00
60,53.0,15.538951965374174,-3.0176527145871663,sitting remote,2022-08-25 10:55:00
61,60.0,18.81134159742649,-9.0529581437615,sitting interactive,2022-08-25 10:55:00
62,63.0,24.376363486665163,-2.6453449121381003,sitting individual,2022-08-25 10:55:00
63,64.0,19.34041057985411,-5.231904381784243,sitting remote,2022-08-25 10:55:00
64,65.0,20.810046642153058,-5.9177345441904174,sitting remote,2022-08-25 10:55:00
